filename,NGP24h
aq_pos_5469,1
aq_pos_5483,1
aq_pos_6519,1
aq_pos_6566,1
org_pos_958,1
org_pos_1581,1
org_pos_1772,1
org_pos_2184,1
org_pos_2758,1
org_pos_2855,1
org_pos_2874,1
org_pos_3481,1
org_pos_3609,1
org_pos_3669,1
aq_pos_2127,1
aq_pos_2330,1
aq_pos_2631,1
aq_pos_2729,1
aq_pos_2757,1
aq_pos_3052,1
aq_pos_3539,1
aq_pos_3576,1
aq_pos_4517,1
aq_pos_4873,1
org_pos_199,1
org_pos_266,1
org_pos_405,1
org_pos_1392,1
org_pos_2155,1
org_pos_2176,1
org_pos_2578,1
org_pos_2604,1
org_pos_2753,1
org_pos_3309,1
org_pos_3312,1
aq_pos_259,1
aq_pos_1630,1
aq_pos_2498,1
aq_pos_3082,1
aq_pos_3852,1
aq_pos_3868,1
aq_pos_4579,1
aq_pos_4661,1
aq_pos_4662,1
aq_pos_5467,1
aq_pos_5471,1
aq_pos_5741,1
aq_pos_6621,1
org_pos_741,1
org_pos_1109,1
org_pos_1464,1
org_pos_1472,1
org_pos_1838,1
org_pos_2622,1
org_pos_2674,1
org_pos_2911,1
org_pos_3135,1
org_pos_3200,1
org_pos_3768,1
aq_pos_1303,1
aq_pos_2669,1
aq_pos_2746,1
aq_pos_2787,1
aq_pos_2806,1
aq_pos_2983,1
aq_pos_3457,1
aq_pos_4161,1
aq_pos_4176,1
aq_pos_4205,1
aq_pos_4611,1
aq_pos_5305,1
aq_pos_5745,1
aq_pos_5975,1
aq_pos_6407,1
org_pos_633,1
org_pos_1249,1
org_pos_1418,1
org_pos_1487,1
org_pos_1800,1
org_pos_1874,1
org_pos_2051,1
org_pos_2527,1
org_pos_2700,1
org_pos_2754,1
org_pos_2756,1
org_pos_2942,1
org_pos_3018,1
org_pos_3121,1
org_pos_3733,1
org_pos_3757,1
aq_pos_2348,1
aq_pos_2440,1
aq_pos_3234,1
aq_pos_4179,1
aq_pos_5271,1
aq_pos_5383,1
aq_pos_6347,1
org_pos_642,1
org_pos_844,1
org_pos_1081,1
org_pos_1307,1
org_pos_1450,1
org_pos_1471,1
org_pos_2080,1
org_pos_2202,1
org_pos_2489,1
org_pos_2524,1
org_pos_2620,1
org_pos_2859,1
org_pos_2995,1
org_pos_3236,1
org_pos_3359,1
org_pos_3372,1
aq_pos_2359,1
aq_pos_2495,1
aq_pos_2720,1
aq_pos_3118,1
aq_pos_3432,1
aq_pos_3497,1
aq_pos_4159,1
aq_pos_6233,1
org_pos_544,1
org_pos_1250,1
org_pos_1684,1
org_pos_2119,1
org_pos_2883,1
org_pos_2913,1
org_pos_3096,1
org_pos_3128,1
org_pos_3586,1
aq_pos_826,1
aq_pos_2619,1
aq_pos_2700,1
aq_pos_2800,1
aq_pos_3698,1
aq_pos_4125,1
aq_pos_4610,1
org_pos_300,1
org_pos_919,1
org_pos_1574,1
org_pos_1718,1
org_pos_1752,1
org_pos_1995,1
org_pos_2773,1
org_pos_2798,1
org_pos_2820,1
org_pos_2866,1
org_pos_2964,1
org_pos_3167,1
org_pos_3305,1
org_pos_3575,1
org_pos_3721,1
org_pos_3847,1
aq_pos_821,1
aq_pos_2634,1
aq_pos_3200,1
aq_pos_4254,1
aq_pos_5099,1
org_pos_826,1
org_pos_1155,1
org_pos_2615,1
org_pos_2735,1
org_pos_2790,1
org_pos_2800,1
org_pos_2897,1
org_pos_3239,1
org_pos_3638,1
org_pos_3639,1
org_pos_3782,1
org_pos_3848,1
aq_pos_102,1
aq_pos_2356,1
aq_pos_2415,1
aq_pos_2639,1
aq_pos_3577,1
aq_pos_4321,1
aq_pos_4522,1
aq_pos_5572,1
aq_pos_6564,1
aq_pos_6654,1
aq_pos_6674,1
org_pos_1872,1
org_pos_3024,1
org_pos_3122,1
org_pos_3270,1
org_pos_3486,1
org_pos_3771,1
aq_pos_2388,1
aq_pos_2656,1
aq_pos_2891,1
aq_pos_3046,1
aq_pos_4867,1
aq_pos_5079,1
aq_pos_5516,1
aq_pos_5548,1
aq_pos_6633,1
org_pos_267,1
org_pos_1284,1
org_pos_1580,1
org_pos_1728,1
org_pos_2580,1
org_pos_2611,1
org_pos_2646,1
org_pos_2694,1
org_pos_2836,1
org_pos_2890,1
org_pos_3040,1
org_pos_3491,1
org_pos_3740,1
aq_pos_2271,1
aq_pos_2395,1
aq_pos_2653,1
aq_pos_2686,1
aq_pos_2930,1
aq_pos_3004,1
aq_pos_4133,1
aq_pos_4283,1
aq_pos_4341,1
aq_pos_4571,1
aq_pos_5098,1
org_pos_578,1
org_pos_1065,1
org_pos_1701,1
org_pos_2741,1
org_pos_2777,1
org_pos_3451,1
org_pos_3710,1
org_pos_3722,1
aq_pos_1165,1
aq_pos_2613,1
aq_pos_2684,1
aq_pos_2704,1
aq_pos_3203,1
aq_pos_3415,1
aq_pos_4147,1
aq_pos_4711,1
aq_pos_4744,1
aq_pos_5198,1
aq_pos_5455,1
aq_pos_5507,1
aq_pos_6389,1
aq_pos_6949,1
org_pos_412,1
org_pos_1112,1
org_pos_1183,1
org_pos_1769,1
org_pos_1901,1
org_pos_2560,1
org_pos_2644,1
org_pos_2678,1
org_pos_3616,1
aq_pos_84,1
aq_pos_235,1
aq_pos_660,1
aq_pos_2179,1
aq_pos_2227,1
aq_pos_2695,1
aq_pos_2839,1
aq_pos_3092,1
