organ,LA,LVB,LVT,RA,RVB,RVT,sum_all
X698.459_3.07,0.00E+00,0.00E+00,3.17E-05,0.00E+00,0.00E+00,0,0.00003172
X256.3_3.382,0.00E+00,3.19E-05,0.00E+00,0.00E+00,0.00E+00,0,0.0000319
X668.354_2.886,0.00E+00,0.00E+00,3.20E-05,0.00E+00,0.00E+00,0,0.000032
X207.102_2.547,0.00E+00,0.00E+00,3.22E-05,0.00E+00,0.00E+00,0,0.0000322
X470.327_2.847,0.00E+00,0.00E+00,3.23E-05,0.00E+00,0.00E+00,0,0.0000323
X380.112_0.423,1.74E-05,0.00E+00,1.53E-05,0.00E+00,0.00E+00,0,0.0000327
X748.583_3.524,3.28E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000328
X399.771_5.729,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.0000328,0.0000328
X566.31_2.557,3.29E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000329
X349.201_2.643,0.00E+00,0.00E+00,3.29E-05,0.00E+00,0.00E+00,0,0.0000329
X339.138_2.425,1.60E-05,0.00E+00,1.70E-05,0.00E+00,0.00E+00,0,0.000033
X336.532_2.169,0.00E+00,3.32E-05,0.00E+00,0.00E+00,0.00E+00,0,0.0000332
X247.17_2.74,0.00E+00,3.32E-05,0.00E+00,0.00E+00,0.00E+00,0,0.0000332
X462.891_2.131,0.00E+00,3.33E-05,0.00E+00,0.00E+00,0.00E+00,0,0.0000333
X812.697_4.682,0.00E+00,0.00E+00,0.00E+00,3.33E-05,0.00E+00,0,0.0000333
X523.288_2.474,0.00E+00,0.00E+00,3.33E-05,0.00E+00,0.00E+00,0,0.0000333
X325.217_2.909,0.00E+00,3.34E-05,0.00E+00,0.00E+00,0.00E+00,0,0.0000334
X180.175_2.782,0.00E+00,0.00E+00,0.00E+00,3.36E-05,0.00E+00,0,0.0000336
X477.21_2.648,0.00E+00,0.00E+00,3.37E-05,0.00E+00,0.00E+00,0,0.0000337
X484.177_2.427,0.00E+00,0.00E+00,3.39E-05,0.00E+00,0.00E+00,0,0.0000339
X400.732_2.96,0.00E+00,3.41E-05,0.00E+00,0.00E+00,0.00E+00,0,0.0000341
X297.29_3.234,1.98E-05,0.00E+00,1.44E-05,0.00E+00,0.00E+00,0,0.0000342
X818.566_3.735,0.00E+00,0.00E+00,3.42E-05,0.00E+00,0.00E+00,0,0.0000342
X584.473_3.112,3.43E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000343
X568.479_3.228,0.00E+00,0.00E+00,0.00E+00,3.45E-05,0.00E+00,0,0.0000345
X787.665_5.603,0.00E+00,0.00E+00,3.46E-05,0.00E+00,0.00E+00,0,0.0000346
X564.231_2.235,0.00E+00,0.00E+00,3.48E-05,0.00E+00,0.00E+00,0,0.0000348
X249.149_2.802,0.00E+00,0.00E+00,3.49E-05,0.00E+00,0.00E+00,0,0.0000349
X474.226_2.475,0.00E+00,0.00E+00,3.49E-05,0.00E+00,0.00E+00,0,0.0000349
X794.604_3.274,0.00E+00,0.00E+00,3.49E-05,0.00E+00,0.00E+00,0,0.0000349
X539.798_2.347,0.00E+00,0.00E+00,0.00E+00,3.50E-05,0.00E+00,0,0.000035
X459.2_2.536,0.00E+00,0.00E+00,3.53E-05,0.00E+00,0.00E+00,0,0.0000353
X341.211_2.75,0.00E+00,0.00E+00,3.54E-05,0.00E+00,0.00E+00,0,0.0000354
X689.558_3.728,0.00E+00,0.00E+00,3.57E-05,0.00E+00,0.00E+00,0,0.0000357
X698.439_3.262,0.00E+00,0.00E+00,3.57E-05,0.00E+00,0.00E+00,0,0.0000357
X689.558_3.819,0.00E+00,0.00E+00,3.59E-05,0.00E+00,0.00E+00,0,0.0000359
X692.522_3.611,0.00E+00,0.00E+00,3.60E-05,0.00E+00,0.00E+00,0,0.000036
X832.57_3.158,0.00E+00,0.00E+00,3.61E-05,0.00E+00,0.00E+00,0,0.0000361
X748.527_3.547,0.00E+00,0.00E+00,3.61E-05,0.00E+00,0.00E+00,0,0.0000361
X167.056_0.348,0.00E+00,0.00E+00,3.62E-05,0.00E+00,0.00E+00,0,0.0000362
X436.779_5.727,0.00E+00,3.62E-05,0.00E+00,0.00E+00,0.00E+00,0,0.0000362
X399.764_5.68,3.63E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000363
X806.556_3.702,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.0000364,0.0000364
X508.268_2.584,0.00E+00,0.00E+00,1.36E-05,2.29E-05,0.00E+00,0,0.0000365
X307.172_2.829,0.00E+00,0.00E+00,0.00E+00,3.66E-05,0.00E+00,0,0.0000366
X477.21_2.563,0.00E+00,0.00E+00,3.66E-05,0.00E+00,0.00E+00,0,0.0000366
X564.36_2.314,0.00E+00,0.00E+00,0.00E+00,3.67E-05,0.00E+00,0,0.0000367
X560.294_2.151,0.00E+00,0.00E+00,3.67E-05,0.00E+00,0.00E+00,0,0.0000367
X137_5.829,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.0000368,0.0000368
X596.3_2.845,0.00E+00,0.00E+00,3.68E-05,0.00E+00,0.00E+00,0,0.0000368
